Register Value,Player Name, Salary in $ ,Season Start,Season End,Team,Full Team Name
1,A.C. Green," $1,750,000.00 ",1990,1991,LAL,Los Angeles Lakers
354,A.C. Green," $1,750,000.00 ",1991,1992,LAL,Los Angeles Lakers
727,A.C. Green," $1,750,000.00 ",1992,1993,LAL,Los Angeles Lakers
1103,A.C. Green," $1,885,000.00 ",1993,1994,PHO,Phoenix Suns
1497,A.C. Green," $6,472,600.00 ",1994,1995,PHO,Phoenix Suns
1832,A.C. Green," $6,473,000.00 ",1995,1996,PHO,Phoenix Suns
2207,A.C. Green," $4,851,000.00 ",1996,1997,DAL,Dallas Mavericks
2977,A.C. Green," $5,125,088.00 ",1998,1999,DAL,Dallas Mavericks
3350,A.C. Green," $1,700,000.00 ",1999,2000,LAL,Los Angeles Lakers
3701,A.C. Green," $2,250,000.00 ",2000,2001,MIA,Miami Heat
3351,A.J. Bramlett," $118,974.00 ",1999,2000,CLE,Cleveland Caveliers
2,A.J. English," $275,000.00 ",1990,1991,WAS,Washington Wizards
355,A.J. English," $325,000.00 ",1991,1992,WAS,Washington Wizards
728,A.J. English," $406,000.00 ",1992,1993,WAS,Washington Wizards
1104,A.J. English," $150,000.00 ",1993,1994,CHI,Chicago Bulls
1105,A.J. English," $150,000.00 ",1993,1994,POR,Portland Trail Blazers
3702,A.J. Guyton," $316,969.00 ",2000,2001,CHI,Chicago Bulls
4118,A.J. Guyton," $465,850.00 ",2001,2002,CHI,Chicago Bulls
4577,A.J. Guyton," $18,748.00 ",2002,2003,GSW,Golden State Warriors
10717,A.J. Hammons," $650,000.00 ",2016,2017,DAL,Dallas Mavericks
11326,A.J. Hammons," $1,312,611.00 ",2017,2018,MIA,Miami Heat
7486,A.J. Price," $457,588.00 ",2009,2010,IND,Indiana Pacers
7944,A.J. Price," $762,195.00 ",2010,2011,IND,Indiana Pacers
8348,A.J. Price," $854,389.00 ",2011,2012,IND,Indiana Pacers
8801,A.J. Price," $885,120.00 ",2012,2013,WAS,Washington Wizards
9627,A.J. Price," $62,552.00 ",2014,2015,PHO,Phoenix Suns
3,A.J. Wynder," $30,000.00 ",1990,1991,BOS,Boston Celtic
356,A.J. Wynder," $130,000.00 ",1991,1992,BOS,Boston Celtic
729,A.J. Wynder," $140,000.00 ",1992,1993,BOS,Boston Celtic
7064,Aaron Brooks," $1,045,560.00 ",2008,2009,HOU,Houston Rockets
7487,Aaron Brooks," $1,118,520.00 ",2009,2010,HOU,Houston Rockets
8802,Aaron Brooks," $3,250,000.00 ",2012,2013,SAC,Sacramento Kings
9230,Aaron Brooks," $3,396,250.00 ",2013,2014,SAC,Sacramento Kings
9231,Aaron Brooks," $1,027,424.00 ",2013,2014,HOU,Houston Rockets
10154,Aaron Brooks," $2,000,000.00 ",2015,2016,CHI,Chicago Bulls
10718,Aaron Brooks," $2,700,000.00 ",2016,2017,IND,Indiana Pacers
11327,Aaron Brooks," $2,116,955.00 ",2017,2018,MIN,Minnesota Timberwolves
9628,Aaron Craft," $35,000.00 ",2014,2015,GSW,Golden State Warriors
9629,Aaron Gordon," $3,992,040.00 ",2014,2015,ORL,Orlando Magic
10155,Aaron Gordon," $4,171,680.00 ",2015,2016,ORL,Orlando Magic
10719,Aaron Gordon," $4,351,320.00 ",2016,2017,ORL,Orlando Magic
11328,Aaron Gordon," $5,504,420.00 ",2017,2018,ORL,Orlando Magic
6659,Aaron Gray," $427,163.00 ",2007,2008,CHI,Chicago Bulls
7065,Aaron Gray," $711,517.00 ",2008,2009,CHI,Chicago Bulls
7488,Aaron Gray," $1,000,497.00 ",2009,2010,NOH,New Orleans Pelicans
7945,Aaron Gray," $1,028,840.00 ",2010,2011,NOH,New Orleans Pelicans
8349,Aaron Gray," $2,500,000.00 ",2011,2012,TOR,Toronto Raptors 
8803,Aaron Gray," $2,575,000.00 ",2012,2013,TOR,Toronto Raptors 
9232,Aaron Gray," $2,690,875.00 ",2013,2014,TOR,Toronto Raptors 
9630,Aaron Gray," $1,227,985.00 ",2014,2015,DET,Detroit Pistons
10156,Aaron Gray," $452,059.00 ",2015,2016,DET,Detroit Pistons
10720,Aaron Gray," $452,059.00 ",2016,2017,DET,Detroit Pistons
11329,Aaron Gray," $452,059.00 ",2017,2018,DET,Detroit Pistons
10157,Aaron Harrison," $525,093.00 ",2015,2016,CHA,Charlotte Hornets
10721,Aaron Harrison," $375,579.00 ",2016,2017,CHA,Charlotte Hornets
1498,Aaron McKie," $650,000.00 ",1994,1995,POR,Portland Trail Blazers
1833,Aaron McKie," $845,000.00 ",1995,1996,POR,Portland Trail Blazers
2208,Aaron McKie," $1,040,000.00 ",1996,1997,POR,Portland Trail Blazers
2593,Aaron McKie," $1,235,000.00 ",1997,1998,DET,Detroit Pistons
2978,Aaron McKie," $1,430,000.00 ",1998,1999,PHI,Philadelphia 76ers
3352,Aaron McKie," $1,624,000.00 ",1999,2000,PHI,Philadelphia 76ers
4119,Aaron McKie," $4,000,000.00 ",2001,2002,PHI,Philadelphia 76ers
5420,Aaron McKie," $5,500,000.00 ",2004,2005,PHI,Philadelphia 76ers
5836,Aaron McKie," $6,000,000.00 ",2005,2006,PHI,Philadelphia 76ers
5837,Aaron McKie," $2,500,000.00 ",2005,2006,LAL,Los Angeles Lakers
6284,Aaron McKie," $5,570,874.00 ",2006,2007,PHI,Philadelphia 76ers
6285,Aaron McKie," $2,500,000.00 ",2006,2007,LAL,Los Angeles Lakers
6660,Aaron McKie," $750,000.00 ",2007,2008,MEM,Memphis Grizzlies
5838,Aaron Miles," $155,614.00 ",2005,2006,GSW,Golden State Warriors
1499,Aaron Swinson," $102,424.00 ",1994,1995,PHO,Phoenix Suns
1500,Aaron Williams," $150,000.00 ",1994,1995,MIL,Milwaukee Bucks
2209,Aaron Williams," $169,000.00 ",1996,1997,DEN,Denver Nuggets
2594,Aaron Williams," $500,000.00 ",1997,1998,OKC,Oklahoma City Thunder
2979,Aaron Williams," $575,000.00 ",1998,1999,OKC,Oklahoma City Thunder
3353,Aaron Williams," $1,100,000.00 ",1999,2000,WAS,Washington Wizards
3703,Aaron Williams," $2,250,000.00 ",2000,2001,NJN,Brooklyn Nets
4120,Aaron Williams," $2,475,000.00 ",2001,2002,NJN,Brooklyn Nets
4578,Aaron Williams," $2,700,000.00 ",2002,2003,NJN,Brooklyn Nets
5007,Aaron Williams," $2,925,000.00 ",2003,2004,NJN,Brooklyn Nets
5421,Aaron Williams," $3,790,257.00 ",2004,2005,TOR,Toronto Raptors 
5839,Aaron Williams," $3,375,000.00 ",2005,2006,TOR,Toronto Raptors 
6286,Aaron Williams," $1,750,000.00 ",2006,2007,LAC,Los Angeles Clippers
6661,Aaron Williams," $1,890,000.00 ",2007,2008,LAC,Los Angeles Clippers
11330,Abdel Nader," $1,167,333.00 ",2017,2018,BOS,Boston Celtic
1106,Acie Earl," $650,000.00 ",1993,1994,BOS,Boston Celtic
1501,Acie Earl," $845,000.00 ",1994,1995,BOS,Boston Celtic
1834,Acie Earl," $1,040,000.00 ",1995,1996,TOR,Toronto Raptors 
2210,Acie Earl," $1,235,000.00 ",1996,1997,TOR,Toronto Raptors 
2595,Acie Earl," $1,430,000.00 ",1997,1998,MIL,Milwaukee Bucks
6662,Acie Law," $1,927,080.00 ",2007,2008,ATL,Atlanta Hawks
7066,Acie Law," $2,071,680.00 ",2008,2009,ATL,Atlanta Hawks
7489,Acie Law," $2,216,160.00 ",2009,2010,CHI,Chicago Bulls
